	TPM
RPS4Y1	0.4299891
HLA-DRA	0.4299891
ENSG00000202198	0.4299891
COL3A1	7.8536825
MT-TP	0.4299891
MAL2	5.2625146
GYPC	0.4299891
H2AC18	3.2689085
MT-TC	0.4299891
SFRP1	9.422912
POSTN	3.0435877
NDN	0.4299891
KRT19	7.7895374
ENSG00000258377	10.351204
MT-TN	0.4299891
ENSG00000273673	10.854577
ENSG00000269888	0.4299891
CD48	0.4299891
MT-TA	0.4299891
APBB1IP	3.0435877
MT-TY	0.4299891
LAD1	0.4299891
ENSG00000288725	0.4299891
TSPYL5	10.130429
TACSTD2	3.7474651
PRAME	10.268725
CAVIN3	6.460973
SNORA73A	0.4299891
EFEMP1	6.1367974
ITM2A	6.0732355
CXCL12	2.7650015
MXRA5	6.8994603
ENSG00000262526	8.139757
PEG3	0.4299891
S100A9	3.2689085
LUM	2.7650015
AIF1	3.2689085
TRBC2	4.5931025
LCP2	1.7847428
SNORD3C	0.4299891
ZFY	0.4299891
PTN	1.7847428
CSF2RB	0.4299891
ALDH1A1	2.3797202
MAGEA3	5.741928
TMEM47	5.82385
NEFL	0.4299891
IRF8	1.7847428
SRGN	5.3789105
MAGED4	3.7474651
ENSG00000289754	9.8773985
SCARNA12	0.4299891
MMP2	9.3481245
IGHM	0.4299891
TM4SF1	12.5037985
DDX3Y	2.3797202
INA	1.7847428
RHOD	5.9751425
MAGEA6	7.3672028
PDZRN3	1.7847428
HLA-DRB1	0.4299891
FBXL7	0.4299891
TBX18	8.1311245
THY1-AS1	4.9668365
MMP1	5.7174397
CXCL1	5.4537435
CDH11	8.46371
NCF4	2.3797202
EFS	0.4299891
UCHL1	2.7650015
IGKC	0.4299891
EHF	4.3762546
MIR142HG	0.4299891
THBD	6.321315
SERPINA3	7.3881874
TWIST2	6.5222054
TFPI2	1.7847428
RNA5-8SN3	0.4299891
RNA5-8SN1	0.4299891
DKK1	10.105139
GIMAP6	1.7847428
PGAP4	9.286853
MAGEA12	5.4166207
PARVG	1.7847428
WDFY4	0.4299891
PCDH18	7.4037037
COL11A1	11.889117
MPDZ	9.931392
SASH3	3.7474651
LRCH2	5.100719
TIMP3	5.558753
AGR2	9.925368
ENSG00000288673	4.770518
SERPINB2	3.2689085
CD53	3.0435877
KRT5	2.7650015
LCN2	6.321315
MAGEA2	0.4299891
CLDN1	10.944659
GATA4	8.408711
TENM3	7.6319475
IRX2	0.4299891
SNORD3D	5.527214
FGFBP1	0.4299891
ADIRF	0.4299891
LDB2	1.7847428
RNU2-2P	0.4299891
ENSG00000282168	0.4299891
SGCD	0.4299891
HOXC10	10.394796
FYB1	3.0435877
S100A8	0.4299891
CAVIN2	1.7847428
HS6ST2	4.1988263
FABP5P7	8.156359
TCIM	0.4299891
CES1	5.017679
MT-TS1	0.4299891
ENSG00000285283	9.604294
GFRA1	1.7847428
S100A16	7.619711
EDIL3	9.12282
VAT1L	1.7847428
H3C14	0.4299891
C19orf33	7.068699
CD69	3.991868
C5orf38	0.4299891
MIR223HG	0.4299891
HLA-DRB3	0.4299891
PRRX1	3.7474651
BNC1	0.4299891
KRT7	5.3789105
MYCN	1.7847428
TMEM30B	2.3797202
MLC1	0.4299891
PLEK	3.2689085
IGFBP5	0.4299891
F13A1	5.527214
PCSK9	0.4299891
ENSG00000270066	0.4299891
SERPINA1	3.7474651
HOXB9	11.130422
SCARNA13	2.3797202
VEGFC	8.843416
SLA	1.7847428
ISLR	0.4299891
IKZF1	3.7474651
PDLIM4	3.6150508
FOXQ1	7.5211143
FOXA1	4.455062
SOX9	10.909799
CBLC	0.4299891
IRAG2	3.0435877
KRT6A	0.4299891
CKMT1A	5.6413226
CD52	1.7847428
MSC	0.4299891
BCYRN1	0.4299891
RGS1	0.4299891
BATF	0.4299891
ENSG00000263244	0.4299891
HOXC13	8.322395
SLPI	0.4299891
SERPINB7	1.7847428
ADAMTS5	1.7847428
JCHAIN	1.7847428
SCARNA5	0.4299891
ENSG00000257411	8.318205
CCND2	6.8186417
GPC6	6.949225
TWIST1	0.4299891
EGFR	12.560253
ENSG00000285408	7.0256863
CACNA2D1	10.38258
RNF128	8.386253
HLA-DPA1	2.3797202
LPL	0.4299891
THBS2	2.7650015
HOXA9	1.7847428
S100A14	0.4299891
RIPK3	0.4299891
ST14	1.7847428
MT1E	7.326133
DLK1	1.7847428
CTNND2	1.7847428
CCL2	8.361241
MAGEA2B	4.455062
ZBTB45P2	4.455062
HGF	2.3797202
IGLC2	0.4299891
HAND2	4.5931025
TC2N	3.4564939
PPP1R3C	7.4096127
ENSG00000258430	5.100719
PPP1R16B	3.7474651
ANKRD1	7.100753
GIMAP4	0.4299891
BEX1	0.4299891
CD248	2.3797202
IL1RN	0.4299891
IGFBP3	5.850807
RNA5-8SN5	0.4299891
ENSG00000273730	0.4299891
ENSG00000275757	0.4299891
RNA5-8SN4	0.4299891
RNA5-8SN2	0.4299891
ENSG00000277739	0.4299891
EVC2	0.4299891
RNASE1	0.4299891
NPTX2	1.7847428
HBB	0.4299891
BCHE	8.610684
ENSG00000258092	4.7146554
TGFBI	10.268725
PKP1	3.4564939
PTPRCAP	0.4299891
G0S2	3.0435877
ZIC2	8.902532
SNHG18	1.7847428
ENSG00000262413	6.2139244
SLC2A3P1	7.1329346
MAGED4B	6.387731
UTP14C	0.4299891
RASAL3	0.4299891
CACNG4	8.6293545
HOXB13	6.707451
GNG11	8.390102
ENSG00000265257	0.4299891
SERPINB5	2.3797202
TMEM200A	1.7847428
PDZK1IP1	0.4299891
FBN2	2.3797202
ADAMTS12	3.0435877
GIMAP5	0.4299891
NALF2	6.957211
PHYHIPL	0.4299891
SERTAD4	3.4564939
FOXA2	8.311236
CKMT1B	3.7474651
HTRA1	8.064682
TCEAL7	1.7847428
GIMAP7	0.4299891
BEND4	2.3797202
LINC01806	0.4299891
TMEM125	0.4299891
CYYR1	0.4299891
DHFRP1	0.4299891
CSAG1	4.526235
ID4	4.095945
H3C15	0.4299891
STMN2	1.7847428
HOXD8	3.6150508
PRSS21	0.4299891
MS4A1	0.4299891
ENSG00000259001	0.4299891
DKK3	11.141571
RNVU1-29	0.4299891
RNU1-2	0.4299891
RNU1-3	0.4299891
RNU1-28P	0.4299891
RNU1-27P	0.4299891
ENSG00000275405	0.4299891
RNU1-4	0.4299891
RNU1-1	0.4299891
RNVU1-18	0.4299891
GAL	5.147226
WSCD1	4.657634
ANO1	7.983448
PTGFR	1.7847428
ENSG00000268083	7.659872
ENSG00000282832	7.659872
TXLNGY	1.7847428
FAM225A	6.926123
KRT23	0.4299891
ENSG00000289700	0.4299891
VCAM1	0.4299891
TYROBP	0.4299891
SAMSN1	1.7847428
MDFI	0.4299891
STAC	8.565628
ENSG00000232035	0.4299891
CD300A	0.4299891
ENSG00000286037	11.385138
MMP16	8.489966
DSP	11.164284
KLK6	1.7847428
MIR663A	0.4299891
BCL2A1	5.766333
ENSG00000289697	0.4299891
H2BC10	0.4299891
H19	6.195298
SMIM10	8.267344
CSAG3	3.4564939
LAMP5	1.7847428
ISL1	3.7474651
KDR	3.0435877
SCARNA2	0.4299891
NLGN4X	1.7847428
KRT16	3.7474651
GABRA3	4.770518
ADAMTSL1	3.4564939
CA2	5.147226
ITGA4	3.4564939
NUDT11	9.499812
ARHGEF34P	0.4299891
TAFA5	0.4299891
CCL3	0.4299891
CPXM1	0.4299891
ALOX5	0.4299891
CNRIP1	8.224502
BIN2	0.4299891
GPR39	7.8140745
KCNJ8	1.7847428
FAP	3.0435877
ZNF521	3.0435877
SPI1	0.4299891
TNFRSF6B	0.4299891
NID1	10.202802
NETO1	0.4299891
EYA2	5.766333
GNA15	4.770518
IL13RA2	2.3797202
NEFM	1.7847428
DOCK2	5.017679
KRT17	0.4299891
PIK3R5	2.7650015
SMOC2	0.4299891
MAL	1.7847428
RIPK4	9.150626
POU4F1	0.4299891
CD79B	1.7847428
AREG	5.82385
CAV1	13.307688
GJA1	10.718035
HLA-DRB4	0.4299891
ESRP1	6.1569967
PRSS22	5.100719
ARMCX1	4.657634
MT-TE	0.4299891
HOXA10	0.4299891
CD86	0.4299891
GAP43	0.4299891
RGS4	3.6150508
ITGB6	3.0435877
ENSG00000261786	6.0351543
EDNRA	2.3797202
CYTIP	0.4299891
OLFM1	3.4564939
TBX3	8.028293
KRT81	3.7474651
ENSG00000274828	0.4299891
RPLP0P9	0.4299891
ERG	3.7474651
MNDA	0.4299891
MARCHF4	8.274114
AZGP1	0.4299891
PHF21B	7.1101627
MYL9	5.4916534
KCNQ2	4.869153
IGHG1	0.4299891
ZNF804A	6.2625647
SNAI2	3.991868
CNR1	0.4299891
MSX2	7.1685905
HLA-DMB	2.7650015
MMRN1	0.4299891
LY86	0.4299891
PITX2	1.7847428
ENSG00000288894	7.350107
H4C2	0.4299891
DNM3OS	0.4299891
MAPK4	0.4299891
TRAC	0.4299891
RNVU1-7	0.4299891
PTGS2	5.766333
THRIL	6.2139244
ST8SIA2	0.4299891
CRABP1	2.7650015
ENSG00000260465	0.4299891
GJB2	7.433243
ENSG00000176868	8.579171
SALL1	0.4299891
ENSG00000259976	6.177071
HSPB8	6.8994603
FOXL1	7.983448
NR2F2	9.912761
SYT4	0.4299891
EPHA5	5.2625146
HOXD9	0.4299891
GALNT13	1.7847428
GRHL2	3.0435877
HOXA13	5.4916534
IRX1	0.4299891
RGS18	0.4299891
HOXC11	7.426668
UBE2QL1	0.4299891
RNASE6	0.4299891
SPINK5	1.7847428
CD3E	3.2689085
GRIK3	1.7847428
RNU4-2	0.4299891
TMEM273	0.4299891
KCNK1	3.0435877
LY75-CD302	3.991868
ENSG00000269823	4.770518
HOXA11	4.2907324
EVA1A	6.2625647
EDNRB	1.7847428
CCR1	0.4299891
ARMCX2	3.6150508
KIF26A	5.3421693
ENSG00000286931	0.4299891
ENSG00000257342	0.4299891
DOK2	0.4299891
ALOX5AP	3.7474651
ENSG00000255330	7.6787844
HOXB4	8.472799
S100P	6.0351543
SCARNA7	0.4299891
CNTFR	3.7474651
FGR	0.4299891
KIF1A	9.0297985
ANXA8L1	3.6150508
JAML	0.4299891
ENSG00000272101	8.271896
HMGN2P5	8.271896
P2RX1	0.4299891
LAPTM5	5.69045
PPP1R14C	3.7474651
RAB25	1.7847428
XGY2	1.7847428
CACNA1H	7.593045
OVOL1	0.4299891
A2M	0.4299891
TRPC4	2.3797202
NAP1L3	6.3455834
SERPINA5	2.3797202
MAB21L1	0.4299891
SCARNA6	2.3797202
COL5A3	1.7847428
CCN2	10.608661
ARHGEF5	9.120082
MT-TL1	0.4299891
ZNF502	0.4299891
OVOL2	2.3797202
TAGAP	0.4299891
GPR27	4.455062
KRT14	0.4299891
SULT4A1	7.2122126
CHL1	0.4299891
KLHL14	7.350107
RN7SKP255	0.4299891
ENSG00000254452	0.4299891
ZIC1	0.4299891
DOK5	2.3797202
RCAN2	2.7650015
CDA	4.657634
H1-3	0.4299891
LRRN1	0.4299891
CALB2	4.657634
ENSG00000263986	0.4299891
H4C13	0.4299891
CSTA	4.2907324
SLC22A3	0.4299891
UGT1A6	0.4299891
ABCB1	2.3797202
SEZ6L	0.4299891
ENSG00000290018	8.373443
FOXC2	8.082812
B3GNT3	3.0435877
CXCL5	5.2625146
NTN4	10.545216
SOD3	0.4299891
ENSG00000268854	6.012345
BDKRB2	2.3797202
SIX2	1.7847428
GIMAP8	0.4299891
PABPC4L	0.4299891
ENSG00000259661	7.41998
MNX1	4.2907324
FIBIN	3.2689085
SLITRK6	8.460583
PTX3	7.5507
S1PR4	2.3797202
IGLC3	0.4299891
HOXB5	9.164662
CACNG7	5.741928
NKX6-1	2.7650015
ENSG00000254559	0.4299891
TMSB15A	4.821519
CD244	0.4299891
HLA-DRB5	0.4299891
ZBED2	2.3797202
CYTL1	0.4299891
RBM24	9.670426
CPE	4.7146554
H3C11	0.4299891
PDK4	6.4166837
FIGN	9.095318
FMN2	6.8070035
ENSG00000277196	0.4299891
DACH1	4.455062
ARMCX7P	5.7948623
FLG	7.0256863
CBFA2T3	6.651285
ESM1	0.4299891
TUB	8.530214
HOXC9	8.975617
PLPPR4	0.4299891
EN1	4.1988263
LGR5	1.7847428
XAGE1A	0.4299891
CTAGE4	7.6137657
DNER	6.3043437
ENSG00000278996	0.4299891
MUC16	3.991868
PRRX2	4.526235
LPAR1	8.688313
ELAVL4	0.4299891
GUCY1A1	3.7474651
CDO1	1.7847428
IGLL5	0.4299891
GPC4	8.357062
ENSG00000276345	0.4299891
NTM	3.2689085
HBA1	0.4299891
ENSG00000243679	0.4299891
IGF2	8.604541
INSM1	0.4299891
SAA1	2.3797202
TAGLN3	0.4299891
NKX2-5	1.7847428
CNTN3	1.7847428
PRIMA1	3.7474651
ENSG00000258757	6.232092
TUSC1	6.387731
KCNT2	5.940337
NCF1C	0.4299891
BLOC1S5-TXNDC5	9.098445
PKP3	6.6135716
ADGRB3	1.7847428
AMOTL2	11.146963
GSTT2B	5.8777475
ALDH1A3	9.78808
PWWP3B	1.7847428
ARL2-SNX15	8.417488
